entry_date,exit_date,n_long,n_short,long_ret,short_ret,period_ret,net_period_ret,long_turnover,short_turnover,capital,cum_strategy
2026-02-23,2026-03-02,1,1,-0.09593026157067497,0.12190473065624828,0.012987234542786661,0.011987234542786662,1.0,1.0,10129.872345427866,1.0129872345427866
2026-03-02,2026-03-03,49,40,-0.010336271812343171,0.016424633670818034,0.003044180929237432,0.0020668850108700853,0.9795918367346939,0.975,10160.709509637427,1.0160709509637427
2026-03-03,2026-03-04,113,146,0.017694581334783764,-0.014025599118395038,0.0018344911081943631,0.0011427708996842407,0.5752212389380531,0.8082191780821918,10179.349240885802,1.0179349240885804
2026-03-04,2026-03-05,156,153,-0.009262971489472653,0.013964329372265176,0.0023506789413962614,0.0020075416864943005,0.3333333333333333,0.35294117647058826,10203.277622783471,1.0203277622783473
2026-03-05,2026-03-06,177,160,-0.017922930505823945,0.018088784369913857,8.292693204495476e-05,-0.0001956924182375311,0.22598870056497175,0.33125,10204.12374929353,1.0204123749293534
2026-03-06,2026-03-09,182,146,0.012131191107998953,-0.009132985505098008,0.0014991028014504724,0.001165894913448064,0.24175824175824176,0.4246575342465753,10219.420779792445,1.0219420779792447
2026-03-09,2026-03-10,179,137,-0.003104920605777173,0.0026706624074079493,-0.00021712909918461187,-0.0005347289034499954,0.18994413407821228,0.44525547445255476,10217.20184616434,1.0217201846164343
2026-03-10,2026-03-11,184,132,0.0020093813408446353,0.0007401430574101715,0.0013747621991274032,0.0009900454665845838,0.2391304347826087,0.5303030303030303,10231.248069043302,1.0231248069043304
2026-03-11,2026-03-12,181,156,-0.021264896841333814,0.018830020093039655,-0.0012174383741470778,-0.0015784845563258567,0.2541436464088398,0.46794871794871795,10218.79215502863,1.021879215502863
2026-03-12,2026-03-16,169,135,0.007018097010378461,-0.003611823805335827,0.0017031366025213172,0.00137661896061906,0.20118343195266272,0.45185185185185184,10236.196153981417,1.0236196153981418
2026-03-16,2026-03-23,148,147,-0.016659948179930138,0.014248117562717684,-0.001205915308606226,-0.0014537779671831702,0.12837837837837837,0.3673469387755102,10223.852168337435,1.0223852168337435
2026-03-23,2026-03-24,105,131,-0.013557431481292436,0.001060778610725102,-0.006248326435283667,-0.006526806987810021,0.1523809523809524,0.40458015267175573,10159.97020256358,1.015997020256358
2026-03-24,2026-03-25,93,83,0.00809521805030147,-0.01182299678593092,-0.001863889367814725,-0.00239822023968932,0.43010752688172044,0.6385542168674698,10141.033142125707,1.0141033142125708
